Year,Region,Population,Waste And Sewage,Machinery,Electricity And District Heating,Other Heating,Agriculture,Transportation,Industry,Total Emissions
2022,Vaermlands County,283976.0,117,366,387,,624,1 548,577,1059.514456
2022,Jaemtlands County,132670.0,181,639,125,,801,1 300,75,428.78944
2022,Vaesternorrlands County,243265.0,90,392,678,,372,1 491,2 270,1314.60406
2022,Gaevleborgs County,287334.0,104,388,203,,504,1 669,806,1088.133858
2022,Dalarnas County,288310.0,91,385,417,,471,1 464,2 057,1440.97338
2022,Oerebro County,307772.0,105,268,341,,651,1 431,907,1173.842408
2022,Vaestra Goetalands County,1758656.0,68,246,451,,649,1 327,2 460,748.528768
2022,Norrbottens County,249177.0,194,1 152,6 995,,455,1 843,9 817,830.10524
2022,Joenkoepings County,369113.0,114,240,419,,1 019,1 717,142,1388.603106
2022,Blekinge County,158740.0,111,225,1 241,,667,1 214,230,602.57704
2022,Gotlands County,61173.0,149,507,279,,4 031,2 269,24 724,1961.695764
2022,Kalmar County,247711.0,133,320,404,,2 076,1 590,206,1198.92124
2022,Kronobergs County,204335.0,133,245,240,,1 010,1 739,120,735.19733
2022,Vaesterbottens County,276295.0,92,486,424,,560,1 559,1 116,1200.77807
2022,Oestergoetlands County,471912.0,51,240,1 312,,1 032,1 420,244,2081.13192
2022,Soedermanlands County,302566.0,119,331,139,,828,1 580,5 640,-1648.422494
2022,Uppsala County,400682.0,43,244,502,,709,1 412,121,1257.740798
2022,Skaane County,1414324.0,84,214,453,,766,1 150,545,400.588384
2022,Stockholms County,2440027.0,44,136,337,,57,785,56,-581.246202
