Year,Region,Population,Waste And Sewage,Machinery,Electricity And District Heating,Other Heating,Agriculture,Transportation,Industry,Total Emissions
2016,Blekinge County,,177.0,466.0,803.0,169.0,1138.0,2825.0,4664.0,10527
2016,Vastragotaland County,,177.0,466.0,803.0,169.0,1138.0,2825.0,4664.0,10527
2016,Gavleborg County,,10.0,38.0,2.0,16.0,270.0,205.0,1867.0,2418
2016,Jonkoping County,,67.0,96.0,107.0,36.0,423.0,786.0,125.0,1699
2016,Stockholm County,,170.0,357.0,1078.0,100.0,143.0,2505.0,285.0,5005
2017,Uppsala County,,21.0,108.0,303.0,27.0,282.0,715.0,58.0,1574
2017,Halland County,,42.0,128.0,75.0,23.0,159.0,608.0,294.0,1376
2017,Vasterbotten County,,28.0,153.0,129.0,23.0,178.0,596.0,343.0,1494
2017,Dalarna County,,30.0,42.0,16.0,30.0,118.0,239.0,45.0,546
2017,Gotland County,,32.0,120.0,94.0,30.0,141.0,549.0,660.0,1676
2017,Vastragotaland County,,173.0,476.0,592.0,159.0,1167.0,2793.0,4703.0,10347
2017,Gavleborg County,,10.0,37.0,2.0,15.0,277.0,220.0,1754.0,2325
2017,Blekinge County,,173.0,476.0,592.0,159.0,1167.0,2793.0,4703.0,10347
2017,Kalmar County,,52.0,92.0,59.0,33.0,575.0,496.0,340.0,1687
2017,Vastmanland County,,44.0,75.0,267.0,17.0,151.0,456.0,305.0,1359
2017,Jamtland County,,30.0,92.0,25.0,16.0,119.0,335.0,15.0,653
2017,Vasternorrland County,,29.0,116.0,135.0,25.0,99.0,481.0,554.0,1480
2017,Norrbotten County,,64.0,282.0,2332.0,19.0,126.0,644.0,2227.0,5736
2017,Orebro County,,186.0,91.0,109.0,26.0,205.0,555.0,162.0,1383
2017,Sodermanland County,,58.0,97.0,14.0,24.0,257.0,611.0,1607.0,2716
2017,Ostergotland County,,28.0,132.0,546.0,36.0,506.0,822.0,158.0,2303
2017,Skane County,,184.0,330.0,585.0,158.0,1129.0,2075.0,869.0,5548
2017,Kronoberg County,,41.0,58.0,50.0,22.0,222.0,458.0,38.0,922
2017,Varmland County,,46.0,108.0,70.0,38.0,192.0,574.0,212.0,1286
2017,Jonkoping County,,64.0,103.0,112.0,36.0,428.0,792.0,100.0,1694
2017,Stockholm County,,161.0,356.0,1023.0,98.0,147.0,2399.0,236.0,4788
2018,Kalmar County,,48.0,91.0,55.0,29.0,559.0,480.0,320.0,1619
2018,Varmland County,,44.0,104.0,70.0,31.0,188.0,545.0,223.0,1248
2018,Jamtland County,,28.0,96.0,30.0,12.0,117.0,227.0,15.0,545
2018,Vastmanland County,,42.0,70.0,283.0,15.0,143.0,460.0,267.0,1321
2018,Dalarna County,,28.0,43.0,17.0,28.0,118.0,232.0,72.0,562
2018,Stockholm County,,150.0,349.0,1140.0,91.0,142.0,2323.0,236.0,4775
2018,Halland County,,40.0,121.0,77.0,19.0,156.0,582.0,288.0,1326
2018,Vastragotaland County,,161.0,458.0,681.0,143.0,1147.0,2798.0,4961.0,10613
2018,Kronoberg County,,39.0,58.0,51.0,18.0,220.0,438.0,42.0,896
2018,Jonkoping County,,60.0,100.0,112.0,30.0,423.0,782.0,91.0,1653
2018,Norrbotten County,,60.0,287.0,2283.0,16.0,125.0,603.0,1973.0,5385
2018,Uppsala County,,21.0,99.0,410.0,23.0,270.0,699.0,60.0,1638
2018,Blekinge County,,161.0,458.0,681.0,143.0,1147.0,2798.0,4961.0,10613
2018,Gavleborg County,,10.0,35.0,6.0,13.0,266.0,237.0,1856.0,2432
2018,Gotland County,,31.0,116.0,89.0,25.0,142.0,510.0,633.0,1592
2018,Vasterbotten County,,26.0,146.0,151.0,18.0,178.0,568.0,356.0,1484
2018,Vasternorrland County,,28.0,106.0,144.0,20.0,99.0,439.0,593.0,1466
2018,Ostergotland County,,27.0,121.0,550.0,31.0,494.0,819.0,167.0,2278
2018,Orebro County,,179.0,86.0,125.0,22.0,201.0,545.0,151.0,1355
2018,Skane County,,166.0,324.0,556.0,149.0,1066.0,1984.0,906.0,5354
2018,Sodermanland County,,55.0,91.0,15.0,21.0,245.0,586.0,1536.0,2593
2019,Orebro County,,166.0,93.0,113.0,20.0,202.0,534.0,150.0,1321
2019,Kronoberg County,,35.0,64.0,46.0,17.0,220.0,426.0,38.0,874
2019,Ostergotland County,,26.0,135.0,538.0,28.0,472.0,810.0,140.0,2214
2019,Halland County,,36.0,136.0,71.0,17.0,155.0,576.0,264.0,1296
2019,Jonkoping County,,53.0,106.0,108.0,28.0,418.0,772.0,91.0,1627
2019,Dalarna County,,25.0,44.0,9.0,31.0,113.0,230.0,40.0,514
2019,Gotland County,,28.0,124.0,94.0,22.0,141.0,505.0,613.0,1571
2019,Jamtland County,,25.0,104.0,18.0,12.0,115.0,227.0,14.0,533
2019,Norrbotten County,,53.0,319.0,1624.0,14.0,124.0,604.0,2651.0,5425
2019,Gavleborg County,,10.0,35.0,3.0,15.0,259.0,240.0,1680.0,2250
2019,Varmland County,,40.0,111.0,69.0,29.0,192.0,540.0,212.0,1233
2019,Vasternorrland County,,25.0,113.0,140.0,19.0,99.0,437.0,558.0,1426
2019,Blekinge County,,146.0,496.0,668.0,145.0,1172.0,2766.0,4351.0,9991
2019,Vastragotaland County,,146.0,496.0,668.0,145.0,1172.0,2766.0,4351.0,9991
2019,Skane County,,149.0,347.0,524.0,165.0,1105.0,1961.0,855.0,5298
2019,Sodermanland County,,49.0,100.0,13.0,19.0,243.0,579.0,2144.0,3189
2019,Vastmanland County,,37.0,79.0,250.0,13.0,147.0,457.0,259.0,1281
2019,Uppsala County,,19.0,104.0,304.0,21.0,275.0,688.0,57.0,1521
2019,Stockholm County,,134.0,353.0,1019.0,80.0,142.0,2302.0,194.0,4549
2019,Vasterbotten County,,24.0,155.0,127.0,17.0,174.0,563.0,339.0,1437
2019,Kalmar County,,43.0,93.0,61.0,28.0,554.0,473.0,140.0,1427
2020,Vasterbotten County,,23.0,155.0,99.0,16.0,172.0,484.0,339.0,1319
2020,Gotland County,,27.0,128.0,90.0,21.0,139.0,466.0,568.0,1473
2020,Varmland County,,35.0,110.0,65.0,27.0,187.0,503.0,190.0,1149
2020,Skane County,,145.0,359.0,450.0,162.0,1116.0,1791.0,843.0,5022
2020,Orebro County,,156.0,93.0,73.0,18.0,208.0,486.0,135.0,1204
2020,Kalmar County,,40.0,89.0,59.0,26.0,555.0,424.0,66.0,1287
2020,Blekinge County,,139.0,484.0,505.0,139.0,1175.0,2532.0,3795.0,8970
2020,Uppsala County,,17.0,110.0,186.0,20.0,285.0,610.0,51.0,1322
2020,Ostergotland County,,26.0,133.0,516.0,26.0,502.0,732.0,123.0,2111
2020,Sodermanland County,,45.0,108.0,11.0,18.0,246.0,520.0,1558.0,2540
2020,Gavleborg County,,10.0,36.0,2.0,14.0,253.0,186.0,1589.0,2097
2020,Stockholm County,,128.0,354.0,609.0,75.0,138.0,2081.0,167.0,3814
2020,Vastmanland County,,33.0,81.0,174.0,12.0,156.0,419.0,228.0,1134
2020,Jamtland County,,23.0,101.0,9.0,11.0,114.0,209.0,12.0,494
2020,Kronoberg County,,32.0,61.0,28.0,15.0,218.0,386.0,35.0,798
2020,Norrbotten County,,47.0,322.0,2028.0,13.0,124.0,559.0,2097.0,5219
2020,Jonkoping County,,51.0,105.0,112.0,26.0,410.0,703.0,79.0,1528
2020,Vastragotaland County,,139.0,484.0,505.0,139.0,1175.0,2532.0,3795.0,8970
2020,Vasternorrland County,,23.0,113.0,115.0,17.0,96.0,398.0,542.0,1332
2020,Halland County,,32.0,133.0,66.0,16.0,151.0,525.0,227.0,1183
2020,Dalarna County,,22.0,46.0,14.0,30.0,111.0,209.0,32.0,482
2021,Halland County,,30.0,133.0,46.0,16.0,152.0,528.0,247.0,1182
2021,Jonkoping County,,45.0,117.0,122.0,26.0,412.0,705.0,71.0,1536
2021,Skane County,,129.0,365.0,458.0,158.0,1086.0,1803.0,883.0,5027
2021,Ostergotland County,,24.0,140.0,568.0,27.0,491.0,736.0,128.0,2163
2021,Orebro County,,167.0,98.0,123.0,19.0,202.0,488.0,150.0,1279
2021,Norrbotten County,,41.0,335.0,2018.0,14.0,122.0,572.0,2131.0,5259
2021,Kalmar County,,35.0,100.0,73.0,26.0,542.0,424.0,61.0,1287
2021,Gavleborg County,,8.0,36.0,8.0,14.0,246.0,138.0,1557.0,2013
2021,Jamtland County,,20.0,97.0,10.0,11.0,115.0,210.0,12.0,489
2021,Gotland County,,25.0,128.0,97.0,21.0,138.0,468.0,603.0,1513
2021,Kronoberg County,,29.0,63.0,30.0,16.0,219.0,389.0,33.0,800
2021,Blekinge County,,125.0,505.0,662.0,138.0,1158.0,2549.0,4637.0,9956
2021,Dalarna County,,19.0,45.0,90.0,29.0,107.0,212.0,33.0,552
2021,Vasterbotten County,,20.0,154.0,112.0,16.0,170.0,489.0,356.0,1346
