Huvudsektor,Undersektor,Län,Kommun,CO2 1990,CO2 2000,CO2 2005,CO2 2010,CO2 2015,CO2 2016,CO2 2017,CO2 2018,CO2 2019,CO2 2020,CO2 2021,CO2 2022
Alla,Alla,Dalarnas län,Rättvik,188764.853267969,214945.745776592,237028.174930135,221313.297146225,189455.489616131,208039.078912583,197727.0352757,160499.808651396,172553.913391668,179912.492645195,178260.163564505,180115.007096069
Alla,Alla,Dalarnas län,Smedjebacken,159495.796087301,104081.907642597,107918.050820588,97813.7920473803,75185.3037216295,77602.297038103,77064.5527964123,75993.2879732205,67681.1818145515,57905.0428523183,71511.4628203599,64667.1564497407
Alla,Alla,Dalarnas län,Säter,56546.7753808929,54129.173076881,49292.817115303,43999.4388694468,38064.6192643274,35608.8679033485,34879.6471365104,33156.7578228279,32546.2618698394,30319.0803829294,30630.7778636705,27166.5552425937
Alla,Alla,Dalarnas län,Vansbro,50192.0248943103,47108.9683876048,43610.4713643282,39341.2260216744,33280.6422196401,31328.0308719804,28011.9081848297,25402.4403870061,25422.2138716411,24201.4528009281,24514.2165518541,21776.7344797665
Alla,Alla,Dalarnas län,Älvdalen,64163.3608756923,62014.7000150124,60247.3896516636,46876.1644879388,42983.7865607262,40372.2182259822,40686.2896759727,35092.2261220216,36351.6503978559,34413.1197918715,34232.1603846837,30121.2503816722
Alla,Alla,Gotlands län,Alla,2015633.98817692,2099896.18932433,2087160.22769071,2035745.96363437,2246298.64499641,2180804.0038898,2058272.98194723,2126347.92459908,1932614.07974906,1820515.03148714,1772071.10223851,1693531.17008357
Alla,Alla,Gotlands län,Gotland,2015633.98817692,2099896.18932433,2087160.22769071,2035745.96363437,2246298.64499641,2180804.0038898,2058272.98194723,2126347.92459908,1932614.07974906,1820515.03148714,1772071.10223851,1693531.17008357
Alla,Alla,Gävleborgs län,Alla,1833253.45186766,1795521.9052332,1719900.33731137,1644799.24716049,1187083.43362796,1178099.17377084,1093844.88593937,1062550.03937089,1034286.7517777,938062.458867567,936993.655679253,847360.794023004
Alla,Alla,Gävleborgs län,Bollnäs,128263.136776612,131613.885638054,122025.947553976,113194.298333236,93185.0696865688,94577.0864996949,86882.5501294716,80679.8914448087,81923.2065336623,79744.5333330795,83221.6580382997,76792.1491283231
Alla,Alla,Gävleborgs län,Gävle,505744.501991622,430893.66489738,470263.147470539,520875.049065617,285247.5601225,278429.592751242,241196.222906927,244580.62189166,244386.630950599,227350.271652767,235837.095434099,211248.624449659
