Year,Region,Population,Waste And Sewage,Machinery,Electricity And District Heating,Other Heating,Agriculture,Transportation,Industry,Total Emissions
2015,stockholm County,,182,385,1175,111.0,146,2584,266,5212
2016,stockholm County,,170,357,1078,100.0,143,2505,285,5005
2017,stockholm County,,161,356,1023,98.0,147,2399,236,4788
2018,stockholm County,,150,349,1140,91.0,142,2323,236,4775
2019,stockholm County,,134,353,1019,80.0,142,2302,194,4549
2020,stockholm County,,128,354,609,75.0,138,2081,167,3814
2021,stockholm County,,114,380,657,77.0,136,2098,167,3876
1990,uppsala County,,59,104,487,305.0,355,714,143,2180
2000,uppsala County,,52,98,501,211.0,325,743,159,2131
2005,uppsala County,,44,101,521,108.0,285,806,146,2064
2010,uppsala County,,33,121,604,53.0,286,825,109,2085
2015,uppsala County,,23,107,334,29.0,282,754,73,1661
2016,uppsala County,,23,104,371,28.0,278,726,70,1659
2017,uppsala County,,21,108,303,27.0,282,715,58,1574
2018,uppsala County,,21,99,410,23.0,270,699,60,1638
2019,uppsala County,,19,104,304,21.0,275,688,57,1521
2020,uppsala County,,17,110,186,20.0,285,610,51,1322
2021,uppsala County,,17,116,196,20.0,274,614,49,1327
1990,varmland County,,158,113,107,505.0,211,638,498,2245
2000,varmland County,,134,108,30,356.0,207,668,701,2247
2005,varmland County,,109,112,54,174.0,194,716,566,1979
2010,varmland County,,87,138,101,75.0,186,698,309,1649
2015,varmland County,,55,112,63,41.0,184,607,210,1318
2016,varmland County,,51,106,75,37.0,188,586,202,1292
2017,varmland County,,46,108,70,38.0,192,574,212,1286
2018,varmland County,,44,104,70,31.0,188,545,223,1248
2019,varmland County,,40,111,69,29.0,192,540,212,1233
2020,varmland County,,35,110,65,27.0,187,503,190,1149
2021,varmland County,,34,119,77,27.0,184,507,195,1173
1990,vasterbotten County,,92,176,171,216.0,218,564,412,1862
2000,vasterbotten County,,79,156,111,149.0,200,590,374,1697
2005,vasterbotten County,,65,152,153,79.0,195,634,331,1657
2010,vasterbotten County,,45,184,167,39.0,188,634,330,1635
2015,vasterbotten County,,31,165,135,24.0,181,577,349,1506
2016,vasterbotten County,,29,157,139,23.0,179,558,351,1480
2017,vasterbotten County,,28,153,129,23.0,178,596,343,1494
2018,vasterbotten County,,26,146,151,18.0,178,568,356,1484
2019,vasterbotten County,,24,155,127,17.0,174,563,339,1437
2020,vasterbotten County,,23,155,99,16.0,172,484,339,1319
2021,vasterbotten County,,20,154,112,16.0,170,489,356,1346
1990,vasternorrland County,,103,140,99,292.0,131,600,1544,2923
2000,vasternorrland County,,87,123,147,204.0,121,628,1182,2532
2005,vasternorrland County,,71,107,202,102.0,117,673,1021,2343
2010,vasternorrland County,,49,144,250,46.0,111,616,698,1965
2015,vasternorrland County,,33,123,117,27.0,103,540,488,1472
2016,vasternorrland County,,31,113,137,25.0,102,521,532,1502
2017,vasternorrland County,,29,116,135,25.0,99,481,554,1480
2018,vasternorrland County,,28,106,144,20.0,99,439,593,1466
2019,vasternorrland County,,25,113,140,19.0,99,437,558,1426
2020,vasternorrland County,,23,113,115,17.0,96,398,542,1332
2021,vasternorrland County,,21,109,159,18.0,93,399,533,1358
1990,vastmanland County,,151,98,618,198.0,183,517,642,2420
2000,vastmanland County,,132,87,539,132.0,173,542,633,2276
2005,vastmanland County,,111,82,586,68.0,151,582,671,2298
2010,vastmanland County,,75,93,668,33.0,142,570,546,2175
2015,vastmanland County,,52,79,246,18.0,148,490,300,1377
2016,vastmanland County,,50,73,257,17.0,145,470,334,1391
2017,vastmanland County,,44,75,267,17.0,151,456,305,1359
2018,vastmanland County,,42,70,283,15.0,143,460,267,1321
2019,vastmanland County,,37,79,250,13.0,147,457,259,1281
2020,vastmanland County,,33,81,174,12.0,156,419,228,1134
2021,vastmanland County,,29,83,231,13.0,151,421,246,1203
1990,vastragotaland County,,542,681,710,1507.0,1332,2872,4366,12081
2000,vastragotaland County,,465,566,556,1050.0,1259,3013,4908,12035
2005,vastragotaland County,,382,551,596,548.0,1161,3216,4834,11614
2010,vastragotaland County,,271,560,1298,321.0,1123,3269,4886,12017
2015,vastragotaland County,,189,482,566,179.0,1140,2920,4577,10335
2016,vastragotaland County,,177,466,803,169.0,1138,2825,4664,10527
2017,vastragotaland County,,173,476,592,159.0,1167,2793,4703,10347
2018,vastragotaland County,,161,458,681,143.0,1147,2798,4961,10613
2019,vastragotaland County,,146,496,668,145.0,1172,2766,4351,9991
2020,vastragotaland County,,139,484,505,139.0,1175,2532,3795,8970
2021,vastragotaland County,,125,505,662,138.0,1158,2549,4637,9956
