year,region,utilized_agric_area,cattle,pigs,poultry,sheep,goats
2018,Central Finland,93.8,46456,8069,85829,9236,13
2018,South Ostrobothnia,249.4,111904,191867,3558958,7993,889
2018,Ostrobothnia,138.3,50271,156099,563106,11720,59
2018,Central Ostrobothnia,57.7,52557,11771,67,5183,0
2018,North Ostrobothnia,238.0,135633,47688,20035,14084,50
2018,Kainuu,25.7,18350,0,15081,2637,8
2018,Lapland,44.7,31470,0,5116,13842,30
2018,Aaland,16.4,8965,0,20771,10410,0
2019,Uusimaa,181.4,20883,26751,15155,6932,1870
2019,Southwest Finland,293.5,36585,305696,5264359,21171,574
2019,Satakunta,140.8,32171,124293,3135225,4536,128
2019,Kanta-Haeme,103.6,19941,40005,175587,4865,486
2019,Pirkanmaa,165.3,47852,70759,1248073,9716,1249
2019,Paeijaet-Haeme,81.3,19579,22352,2241,3848,0
2019,Kymenlaakso,83.7,14501,5283,8641,3015,69
2019,South Karelia,52.5,17975,11102,18266,2470,0
2019,South Savo,72.2,41514,6988,138848,6326,49
2019,North Savo,148.7,112398,18501,55259,5608,403
2019,North Karelia,84.8,48078,5260,27708,4014,7
2019,Central Finland,93.7,45767,8052,52132,8906,14
2019,South Ostrobothnia,250.3,110164,192820,3665811,8073,922
2019,Ostrobothnia,138.5,49197,172169,505228,11557,23
2019,Central Ostrobothnia,57.8,51141,11219,97,4958,0
2019,North Ostrobothnia,239.1,132871,50269,14299,13764,20
2019,Kainuu,25.8,17997,0,10670,2667,12
2019,Lapland,44.6,30757,0,2953,13962,35
2019,Aaland,16.5,8251,0,19360,8488,0
2020,Uusimaa,181.3,20249,16050,10906,6824,2032
2020,Southwest Finland,293.2,37095,311483,4746666,20565,565
2020,Satakunta,140.6,32077,124307,3407687,4100,113
2020,Kanta-Haeme,103.4,19645,43091,200842,4912,0
2020,Pirkanmaa,164.7,47098,75735,1091701,9399,1262
2020,Paeijaet-Haeme,81.2,18787,24386,779,3650,0
2020,Kymenlaakso,83.4,14024,4617,8758,3503,40
2020,South Karelia,52.5,17193,11293,27640,2623,0
2020,South Savo,72.0,40023,6468,145463,6004,26
2020,North Savo,147.7,110868,18920,47271,5262,253
2020,North Karelia,84.0,45845,5613,24963,3473,21
2020,Central Finland,93.5,44580,7972,51148,8769,13
2020,South Ostrobothnia,251.0,112637,201024,3240790,8530,1081
2020,Ostrobothnia,138.7,49277,170417,528988,10791,25
2020,Central Ostrobothnia,57.8,50030,12201,63,4155,0
2020,North Ostrobothnia,239.4,131711,52546,13982,13701,20
2020,Kainuu,25.8,17231,0,10197,2447,4
2020,Lapland,44.0,29564,0,2933,12766,46
2020,Aaland,16.3,8451,133,16103,8697,88
2021,Uusimaa,181.2,20607,23222,13775,6525,1783
2021,Southwest Finland,292.7,38510,312968,5108195,20397,555
2021,Satakunta,140.5,32621,128078,3274021,4146,136
2021,Kanta-Haeme,103.3,19813,40938,198524,4487,0
2021,Pirkanmaa,166.4,46836,77383,855446,9133,1237
2021,Paeijaet-Haeme,93.8,19378,21422,608,4177,6
2021,Kymenlaakso,70.4,12490,4149,8276,2737,66
2021,South Karelia,52.1,16907,11256,17791,2369,0
2021,South Savo,64.1,36896,6809,135089,5103,33
2021,North Savo,154.1,112756,17397,53483,5511,131
2021,North Karelia,85.1,46202,4275,25824,2797,16
2021,Central Finland,91.4,42968,7455,49756,8755,16
2021,South Ostrobothnia,263.5,114717,226688,3531632,8577,1202
2021,Ostrobothnia,126.1,48475,155712,508299,10202,20
2021,Central Ostrobothnia,58.0,48590,12611,0,3642,0
2021,North Ostrobothnia,239.9,131753,56483,18940,10971,23
2021,Kainuu,25.6,16916,0,0,2215,5
2021,Lapland,43.9,28746,0,0,11449,34
2021,Aaland,16.3,8857,0,21938,7893,89
2022,Uusimaa,179.7,20444,15475,12224,6726,1742
2022,Southwest Finland,292.2,39146,306802,4931034,21477,608
2022,Satakunta,140.3,32464,114697,3510294,4297,163
2022,Kanta-Haeme,104.0,19976,45957,190890,4765,0
2022,Pirkanmaa,166.6,46889,73832,1331718,9362,1307
2022,Paeijaet-Haeme,94.1,18745,24888,0,4073,0
2022,Kymenlaakso,69.8,12165,3714,9056,2512,82
2022,South Karelia,52.0,16582,5593,17928,2160,0
2022,South Savo,64.1,36420,5332,136171,5119,37
2022,North Savo,154.0,110278,17145,47058,5145,101
2022,North Karelia,84.7,44540,3574,25805,2505,17
