year,region,industry_energy_use_in_tj,oil_gas_heating_of_floor_area_in_m2,coal_coke_heating_of_floor_area_in_m2,wood_peat_heating_of_floor_area_in_m2,other_heating_of_floor_area_in_m2,wood_fuels_in_1000m3,population,utilized_agric_area_in_1000_hectares,cattle,pigs,poultry,sheep,goats
2018,South Ostrobothnia,5554,4944704,4775,3249916,953154,497,194316,249.4,111904,191867,3558958,7993,889
2018,Ostrobothnia,24878,4202611,83832,1540066,1079079,1324,176193,138.3,50271,156099,563106,11720,59
2018,South Savo,4850,2233605,4773,2006425,559992,1028,136474,72.1,41851,7402,199923,7286,18
2018,North Savo,16982,2792770,13836,2608328,863741,1350,250414,148.8,116437,18764,54461,5919,393
2018,North Karelia,19067,2061905,2461,2098171,700740,1220,165569,84.8,50174,5578,27383,4376,11
2018,Central Ostrobothnia,7559,1395600,3052,640426,384785,217,68437,57.7,52557,11771,67,5183,0
2018,North Ostrobothnia,63950,4405624,32870,3258761,1449007,1309,412161,238.0,135633,47688,20035,14084,50
2018,Kainuu,2631,778491,1321,1019340,271617,435,73061,25.7,18350,0,15081,2637,8
2018,Lapland,56635,3080932,6808,1966487,915991,1367,178522,44.7,31470,0,5116,13842,30
2018,Aaland,255,847414,2428,197962,171010,74,29789,16.4,8965,0,20771,10410,0
2019,Uusimaa,73369,14484655,360724,2106506,4313071,1524,1689725,181.4,20883,26751,15155,6932,1870
2019,Southwest Finland,17776,9638260,142505,2694205,2228434,1428,479341,293.5,36585,305696,5264359,21171,574
2019,Kanta-Haeme,6455,3015740,41078,1172852,757350,413,170925,103.6,19941,40005,175587,4865,486
2019,Paeijaet-Haeme,8273,3311069,12174,1329780,689525,704,206315,81.3,19579,22352,2241,3848,0
2019,Kymenlaakso,46725,4624806,58660,984611,1232744,1183,164456,83.7,14501,5283,8641,3015,69
2019,South Karelia,75796,2018454,51460,1039667,644573,1988,127757,52.5,17975,11102,18266,2470,0
2019,Satakunta,34587,5830426,124933,1971431,1892834,1153,216752,140.8,32171,124293,3135225,4536,128
2019,Pirkanmaa,19251,8371513,63247,2808356,1821443,1419,519872,165.3,47852,70759,1248073,9716,1249
2019,Central Finland,52751,4050750,88271,2550438,913155,2028,272898,93.7,45767,8052,52132,8906,14
2019,South Ostrobothnia,4525,4848231,4584,3247071,956425,519,193207,250.3,110164,192820,3665811,8073,922
2019,Ostrobothnia,25860,4131043,77083,1541060,1088658,1232,175923,138.5,49197,172169,505228,11557,23
2019,South Savo,4041,2143936,3800,1996601,546861,1005,134314,72.2,41514,6988,138848,6326,49
2019,North Savo,17382,2708746,13954,2590031,877748,1386,249003,148.7,112398,18501,55259,5608,403
2019,North Karelia,19389,1959756,1714,2092138,706136,1181,164465,84.8,48078,5260,27708,4014,7
2019,Central Ostrobothnia,6990,1383340,3119,645026,398469,206,68158,57.8,51141,11219,97,4958,0
2019,North Ostrobothnia,55494,4263269,31622,3242870,1492013,1272,412830,239.1,132871,50269,14299,13764,20
2019,Kainuu,2819,773627,991,1015434,273932,433,72306,25.8,17997,0,10670,2667,12
2019,Lapland,56321,2981953,6808,1930865,929803,1408,177161,44.6,30757,0,2953,13962,35
2019,Aaland,261,838863,2428,198752,176864,64,29884,16.5,8251,0,19360,8488,0
2020,Uusimaa,66714,14436096,360617,2139946,4653712,1626,1702678,181.3,20249,16050,10906,6824,2032
2020,Southwest Finland,17985,9690136,142581,2802007,2545971,1418,481403,293.2,37095,311483,4746666,20565,565
2020,Kanta-Haeme,6364,3038274,40732,1197891,803807,417,170577,103.4,19645,43091,200842,4912,0
2020,Paeijaet-Haeme,8061,3098626,18402,1356723,734938,789,205771,81.2,18787,24386,779,3650,0
2020,Kymenlaakso,43832,4652342,56154,980640,1350650,1042,162812,83.4,14024,4617,8758,3503,40
2020,South Karelia,71641,2032599,51984,1063168,715396,1842,126921,52.5,17193,11293,27640,2623,0
2020,Satakunta,31307,5864718,124948,1996448,1904257,952,215416,140.6,32077,124307,3407687,4100,113
2020,Pirkanmaa,18234,8226273,61840,2937433,1735576,1366,522852,164.7,47098,75735,1091701,9399,1262
2020,Central Finland,45788,4002520,86357,2575805,991718,1879,272617,93.5,44580,7972,51148,8769,13
2020,South Ostrobothnia,4601,4780526,4584,3247707,983322,510,192150,251.0,112637,201024,3240790,8530,1081
2020,Ostrobothnia,24329,4160440,74538,1536037,1181437,1109,175816,138.7,49277,170417,528988,10791,25
2020,South Savo,3853,2125311,3800,2048682,489701,926,132702,72.0,40023,6468,145463,6004,26
2020,North Savo,16382,2667951,14033,2647034,860582,1231,248265,147.7,110868,18920,47271,5262,253
2020,North Karelia,19689,1945553,1714,2137128,686780,1119,163537,84.0,45845,5613,24963,3473,21
2020,Central Ostrobothnia,7061,1373004,3147,648536,486526,202,67988,57.8,50030,12201,63,4155,0
2020,North Ostrobothnia,50775,4179428,31817,3289364,1556514,1237,413830,239.4,131711,52546,13982,13701,20
2020,Kainuu,2898,768040,991,1059002,293061,371,71664,25.8,17231,0,10197,2447,4
2020,Lapland,53220,2936363,6810,1884355,939291,1187,176665,44.0,29564,0,2933,12766,46
2020,Aaland,234,851359,2548,204069,174241,66,30129,16.3,8451,133,16103,8697,88
2021,Uusimaa,64062,14029080,342183,2113610,4716668,2065,1714741,181.2,20607,23222,13775,6525,1783
2021,Southwest Finland,12735,9427224,136501,2752905,2581985,1607,483477,292.7,38510,312968,5108195,20397,555
2021,Kanta-Haeme,6715,3040607,40443,1174554,831021,508,170213,103.3,19813,40938,198524,4487,0
2021,Paeijaet-Haeme,8842,3111331,18402,1342240,734486,1046,205124,93.8,19378,21422,608,4177,6
2021,Kymenlaakso,46565,4548414,55584,956173,1367578,1262,161391,70.4,12490,4149,8276,2737,66
2021,South Karelia,75577,2035353,51454,1061740,727590,2051,126107,52.1,16907,11256,17791,2369,0
2021,Satakunta,33690,5819724,116173,1985906,1897619,1305,214281,140.5,32621,128078,3274021,4146,136
2021,Pirkanmaa,19557,8130079,60750,2884383,1776130,1621,527478,166.4,46836,77383,855446,9133,1237
2021,Central Finland,44479,3919710,86357,2545715,996668,2392,272683,91.4,42968,7455,49756,8755,16
2021,South Ostrobothnia,4728,4776929,4569,3253580,1013600,772,191762,263.5,114717,226688,3531632,8577,1202
2021,Ostrobothnia,27306,4050240,73699,1529631,1186364,1323,176041,126.1,48475,155712,508299,10202,20
2021,South Savo,4420,2110087,3729,2032601,519547,1065,131688,64.1,36896,6809,135089,5103,33
2021,North Savo,16857,2625473,13881,2633420,870703,1526,248363,154.1,112756,17397,53483,5511,131
2021,North Karelia,20209,1919496,1714,2122060,714049,1264,163281,85.1,46202,4275,25824,2797,16
2021,Central Ostrobothnia,8660,1360084,3147,641094,486710,288,67915,58.0,48590,12611,0,3642,0
2021,North Ostrobothnia,57266,4148177,35424,3265124,1606360,1843,415603,239.9,131753,56483,18940,10971,23
2021,Kainuu,3746,734416,991,1056609,299548,558,71255,25.6,16916,0,0,2215,5
2021,Lapland,54127,2903504,6810,1867658,986133,1474,176494,43.9,28746,0,0,11449,34
2021,Aaland,112,838458,2293,195497,172754,78,30344,16.3,8857,0,21938,7893,89
2022,Uusimaa,66819,13856463,342331,2090926,5059104,2003,1733033,179.7,20444,15475,12224,6726,1742
2022,Southwest Finland,11877,9330725,135576,2734926,2633523,1498,485567,292.2,39146,306802,4931034,21477,608
2022,Kanta-Haeme,6561,3044183,39609,1170723,853388,511,169537,104.0,19976,45957,190890,4765,0
2022,Paeijaet-Haeme,8486,3080729,18035,1338222,750354,1047,204528,94.1,18745,24888,0,4073,0
2022,Kymenlaakso,41102,4446516,54446,948157,1451289,1160,159488,69.8,12165,3714,9056,2512,82
2022,South Karelia,68372,2033221,51142,1054558,731856,2094,125353,52.0,16582,5593,17928,2160,0
2022,Satakunta,30224,5785913,115782,1974764,1942357,1295,212556,140.3,32464,114697,3510294,4297,163
2022,Pirkanmaa,18105,8038035,59981,2864433,1898344,1585,532671,166.6,46889,73832,1331718,9362,1307
2022,Central Finland,42190,3678307,86357,2509572,988653,2197,272437,91.5,41458,7160,10127,8576,28
2022,South Ostrobothnia,5081,4747053,4511,3242247,1046973,799,190774,264.5,114831,217211,3558134,8056,1234
2022,Ostrobothnia,19074,4034580,73731,1523930,1200327,1393,176323,125.8,49338,155739,527915,10499,25
2022,South Savo,4636,2052087,3708,2019458,559707,1081,130451,64.1,36420,5332,136171,5119,37
2022,North Savo,16153,2593891,13706,2612100,901782,1477,247689,154.0,110278,17145,47058,5145,101
2022,North Karelia,18264,1903019,1714,2120288,739689,1133,162540,84.7,44540,3574,25805,2505,17
2022,Central Ostrobothnia,8416,1366143,3147,636005,479298,277,67805,58.1,47944,11413,0,3658,0
2022,North Ostrobothnia,51882,4051787,35680,3228521,1698316,1818,416543,240.3,131137,51259,16465,10832,117
2022,Kainuu,3505,742403,991,1046019,314316,477,70521,25.5,16362,0,0,2604,6
2022,Lapland,41039,2890625,6810,1854108,997050,1095,175795,43.6,26765,0,0,12561,61
2022,Aaland,239,840378,2293,196414,185201,79,30359,15.9,8465,0,0,7157,88
