year,oil_gas_heating_of_floor_area_in_m2,coal_coke_heating_of_floor_area_in_m2,wood_peat_heating_of_floor_area_in_m2,other_heating_of_floor_area_in_m2,region,wood_fuels_in_1000m3,population,utilized_agric_area_in_1000_hectares,cattle,pigs,poultry,sheep,goats
2014,2122184,50538,1039890,616467,South Karelia,1731,131764,53.1,20309,16548,17721,2049,0
2014,2450071,4298,1993893,517262,South Savo,1070,142746,71.7,45808,11853,185862,7180,61
2014,3151078,13074,2566452,833003,North Savo,1357,253585,147.6,121774,26427,34855,4651,255
2014,2448038,2455,2045954,682596,North Karelia,1232,168896,85.0,55968,7014,30240,4504,77
2014,4583507,94034,2562388,949419,Central Finland,1929,272986,93.8,49935,10737,52849,7853,35
2014,5108183,4461,3147496,897663,South Ostrobothnia,505,198242,246.9,110263,216652,3305116,6937,1395
2014,4483211,87641,1521887,974884,Ostrobothnia,1080,176314,138.1,48981,190566,552374,10975,181
2014,1522525,3052,628367,344088,Central Ostrobothnia,195,68832,57.2,55282,13240,131,3163,0
2014,4821051,36842,3274449,1368376,North Ostrobothnia,1340,408536,228.3,133744,54720,19725,11112,80
2014,899566,1439,1051576,250357,Kainuu,504,76119,31.5,23547,899,10252,2663,0
2014,3376039,7754,1945824,904598,Lapland,1239,181748,44.3,33671,0,5075,14379,22
2014,881241,2428,196406,159995,Aaland,72,28916,20.8,8468,0,21056,12322,60
2015,15909418,338705,2098485,3692932,Uusimaa,1209,1620261,181.6,23499,30674,13483,8494,163
2015,10680270,148076,2651541,2052351,Southwest Finland,490,474323,294.2,38437,361367,4656297,20896,321
2015,6241020,131219,1950061,1781415,Satakunta,1208,222957,140.8,31469,134291,2449600,5571,133
2015,3147044,64949,1166404,718976,Kanta-Haeme,371,174710,104.2,22245,48176,142030,4493,41
2015,8803143,65613,2779324,1646674,Pirkanmaa,1243,508448,164.8,53232,87846,1001554,10868,1298
2015,3393043,17340,1327894,610993,Paeijaet-Haeme,695,208525,82.2,22759,27251,13836,3908,64
2015,4957775,60402,993558,1196324,Kymenlaakso,1061,171778,83.7,15805,9052,9365,3433,20
2015,2129920,52808,1047020,633469,South Karelia,1784,131155,53.2,19923,16448,20088,2171,9
2015,2419753,4298,1995265,519545,South Savo,1065,141621,72.1,45005,10820,166721,7384,61
2015,3136659,13074,2581004,850510,North Savo,1202,253239,148.5,121374,27900,35751,5204,271
2015,2447943,2455,2046077,690257,North Karelia,1199,168329,85.9,55526,6988,29499,5193,70
2015,4504889,88738,2531558,850282,Central Finland,1942,273446,94.5,49430,10806,52614,8949,36
2015,5088921,4461,3173346,909835,South Ostrobothnia,467,197371,247.9,112163,209226,3699504,8391,1720
2015,4456183,87524,1520482,988762,Ostrobothnia,1095,176894,138.1,49590,189992,583594,12331,153
2015,1519304,3052,628093,351964,Central Ostrobothnia,189,69032,57.3,54541,16014,229,4576,0
2015,4806250,36443,3278111,1385093,North Ostrobothnia,1250,410054,229.9,134015,54394,16423,13525,87
2015,892168,1439,1051589,255186,Kainuu,479,75324,32.0,23662,1069,15559,3148,0
2015,3385847,6598,1949180,923331,Lapland,1337,180858,44.8,33250,0,5163,14906,36
2015,880585,2428,198134,163692,Aaland,73,28983,17.3,8792,0,15622,11797,0
2016,15930478,344298,2113456,3928233,Uusimaa,1245,1638293,181.4,23350,30359,8916,8465,170
2016,10620096,147671,2694123,2020792,Southwest Finland,621,475543,294.3,38300,344685,4650891,21175,296
2016,6241816,131149,1959007,1828864,Satakunta,1362,221740,140.9,32193,135128,2934042,5130,302
2016,3164731,64917,1172855,705433,Kanta-Haeme,439,173781,104.0,22196,47156,170434,4570,35
2016,8796051,64948,2805695,1738022,Pirkanmaa,1367,511642,165.1,52831,86408,1152570,11752,1322
2016,3387992,17658,1335253,663937,Paeijaet-Haeme,754,208574,82.3,22444,29363,13742,4576,55
2016,4906941,59981,993726,1173996,Kymenlaakso,1240,170770,84.0,15827,8146,8202,3241,14
2016,2118703,52812,1048347,641218,South Karelia,1837,130506,52.9,19564,15928,26543,2379,16
2016,2403177,4298,1991135,536316,South Savo,1042,140422,72.4,44035,10946,144237,7726,32
2016,3120093,13684,2595109,854888,North Savo,1295,252815,149.0,119878,24783,30992,5325,306
2016,2418243,2461,2088681,685345,North Karelia,1123,167599,85.6,54440,7074,25893,4828,60
2016,4480801,88678,2585950,946627,Central Finland,1883,273910,94.0,48548,9592,48598,9129,31
2016,5104229,4461,3232409,916423,South Ostrobothnia,535,196572,248.9,112642,215322,3619578,8441,1649
2016,4399476,85548,1524198,1019028,Ostrobothnia,1319,176729,138.3,50156,198174,557625,12059,322
2016,1491085,3052,634630,346703,Central Ostrobothnia,163,69027,57.5,54631,15960,176,5003,0
2016,4774537,36475,3288703,1397262,North Ostrobothnia,1320,411150,236.8,137021,54248,16522,14295,66
2016,876829,1439,1048221,257179,Kainuu,428,74803,25.7,19358,1218,15371,2765,0
2016,3374376,6724,1951137,884122,Lapland,1436,180207,44.8,32304,0,2664,13773,38
2016,882255,2428,199504,165289,Aaland,74,29214,16.9,9303,0,17861,11864,61
2017,15029940,366011,2128163,4122353,Uusimaa,1283,1655624,181.1,22655,26380,9757,7790,1322
2017,9944278,149295,2702183,2089209,Southwest Finland,835,477677,293.8,38221,328446,5173930,21829,368
2017,5937898,131364,1961284,1852103,Satakunta,1187,220398,140.9,31998,126903,2749292,5074,249
2017,3055355,42391,1178286,733042,Kanta-Haeme,417,172720,104.0,21560,42276,154671,4734,38
2017,8529902,64650,2817431,1767960,Pirkanmaa,1403,514333,165.1,50833,76156,796006,11166,1430
2017,3381797,17773,1341707,688946,Paeijaet-Haeme,714,208048,81.9,21990,26075,13103,4512,29
2017,4794545,59051,988151,1203654,Kymenlaakso,1234,168691,84.0,15185,5726,8550,4076,0
2017,2064724,52450,1044716,637154,South Karelia,2066,129865,52.7,19129,11652,20836,2442,10
2017,2267231,4298,2013514,556507,South Savo,1036,138822,72.0,42446,8163,162010,7599,27
2017,2842104,13836,2596510,879047,North Savo,1325,251570,149.3,118159,21837,28774,5402,293
2017,2250185,2461,2079405,700235,North Karelia,1141,166441,85.1,51842,4406,27734,4480,59
2017,4244750,88679,2591013,952194,Central Finland,2020,273779,93.7,47085,8449,48433,9696,17
2017,4952808,4775,3237069,948639,South Ostrobothnia,496,195583,248.4,112340,200577,3325763,7744,1032
2017,4236821,84447,1531996,1066792,Ostrobothnia,1293,176272,138.3,50046,186969,560498,12505,177
2017,1391878,3052,635423,363203,Central Ostrobothnia,210,68780,57.7,53264,11362,36,4825,0
2017,4450689,35254,3267238,1422612,North Ostrobothnia,1385,411856,237.4,135603,49423,17975,14138,56
2017,781770,1439,1020895,266510,Kainuu,416,73959,25.6,19144,0,14961,2831,12
2017,3107945,6898,1937400,911023,Lapland,1426,179223,44.5,32451,0,4855,13719,54
2017,855710,2428,197753,169199,Aaland,79,29489,16.7,9227,0,18436,11364,0
2018,14937328,367648,2120184,4212930,Uusimaa,1256,1671024,181.2,21738,26355,13508,7409,1678
2018,9907771,146565,2705054,2129122,Southwest Finland,1154,478582,293.4,39027,327947,5266686,22636,370
2018,5916403,132419,1969412,1875367,Satakunta,1250,218624,140.6,32432,128969,3043922,5177,264
2018,3051794,42423,1180259,751056,Kanta-Haeme,416,171364,103.9,21114,41895,177619,4861,248
2018,8510384,63717,2817929,1799297,Pirkanmaa,1366,517333,165.3,49566,72312,1042310,11112,1294
2018,3426195,12335,1343453,681192,Paeijaet-Haeme,609,207394,81.5,20941,25217,11292,4256,0
2018,4735673,59352,991481,1226165,Kymenlaakso,1142,166623,83.9,14790,6735,14829,4250,43
2018,2066659,52255,1045562,643848,South Karelia,1939,128756,52.6,18601,11153,19411,2612,7
2018,2233605,4773,2006425,559992,South Savo,1028,136474,72.1,41851,7402,199923,7286,18
2018,2792770,13836,2608328,863741,North Savo,1350,250414,148.8,116437,18764,54461,5919,393
2018,2061905,2461,2098171,700740,North Karelia,1220,165569,84.8,50174,5578,27383,4376,11
2018,4204915,88679,2566023,895020,Central Finland,2116,273283,93.8,46456,8069,85829,9236,13
2018,4944704,4775,3249916,953154,South Ostrobothnia,497,194316,249.4,111904,191867,3558958,7993,889
2018,4202611,83832,1540066,1079079,Ostrobothnia,1324,176193,138.3,50271,156099,563106,11720,59
2018,1395600,3052,640426,384785,Central Ostrobothnia,217,68437,57.7,52557,11771,67,5183,0
2018,4405624,32870,3258761,1449007,North Ostrobothnia,1309,412161,238.0,135633,47688,20035,14084,50
2018,778491,1321,1019340,271617,Kainuu,435,73061,25.7,18350,0,15081,2637,8
2018,3080932,6808,1966487,915991,Lapland,1367,178522,44.7,31470,0,5116,13842,30
2018,847414,2428,197962,171010,Aaland,74,29789,16.4,8965,0,20771,10410,0
2019,14484655,360724,2106506,4313071,Uusimaa,1524,1689725,181.4,20883,26751,15155,6932,1870
2019,9638260,142505,2694205,2228434,Southwest Finland,1428,479341,293.5,36585,305696,5264359,21171,574
2019,5830426,124933,1971431,1892834,Satakunta,1153,216752,140.8,32171,124293,3135225,4536,128
2019,3015740,41078,1172852,757350,Kanta-Haeme,413,170925,103.6,19941,40005,175587,4865,486
2019,8371513,63247,2808356,1821443,Pirkanmaa,1419,519872,165.3,47852,70759,1248073,9716,1249
2019,3311069,12174,1329780,689525,Paeijaet-Haeme,704,206315,81.3,19579,22352,2241,3848,0
2019,4624806,58660,984611,1232744,Kymenlaakso,1183,164456,83.7,14501,5283,8641,3015,69
2019,2018454,51460,1039667,644573,South Karelia,1988,127757,52.5,17975,11102,18266,2470,0
2019,2143936,3800,1996601,546861,South Savo,1005,134314,72.2,41514,6988,138848,6326,49
2019,2708746,13954,2590031,877748,North Savo,1386,249003,148.7,112398,18501,55259,5608,403
2019,1959756,1714,2092138,706136,North Karelia,1181,164465,84.8,48078,5260,27708,4014,7
2019,4050750,88271,2550438,913155,Central Finland,2028,272898,93.7,45767,8052,52132,8906,14
2019,4848231,4584,3247071,956425,South Ostrobothnia,519,193207,250.3,110164,192820,3665811,8073,922
2019,4131043,77083,1541060,1088658,Ostrobothnia,1232,175923,138.5,49197,172169,505228,11557,23
2019,1383340,3119,645026,398469,Central Ostrobothnia,206,68158,57.8,51141,11219,97,4958,0
2019,4263269,31622,3242870,1492013,North Ostrobothnia,1272,412830,239.1,132871,50269,14299,13764,20
2019,773627,991,1015434,273932,Kainuu,433,72306,25.8,17997,0,10670,2667,12
2019,2981953,6808,1930865,929803,Lapland,1408,177161,44.6,30757,0,2953,13962,35
2019,838863,2428,198752,176864,Aaland,64,29884,16.5,8251,0,19360,8488,0
2020,14436096,360617,2139946,4653712,Uusimaa,1626,1702678,181.3,20249,16050,10906,6824,2032
2020,9690136,142581,2802007,2545971,Southwest Finland,1418,481403,293.2,37095,311483,4746666,20565,565
2020,5864718,124948,1996448,1904257,Satakunta,952,215416,140.6,32077,124307,3407687,4100,113
2020,3038274,40732,1197891,803807,Kanta-Haeme,417,170577,103.4,19645,43091,200842,4912,0
2020,8226273,61840,2937433,1735576,Pirkanmaa,1366,522852,164.7,47098,75735,1091701,9399,1262
2020,3098626,18402,1356723,734938,Paeijaet-Haeme,789,205771,81.2,18787,24386,779,3650,0
2020,4652342,56154,980640,1350650,Kymenlaakso,1042,162812,83.4,14024,4617,8758,3503,40
2020,2032599,51984,1063168,715396,South Karelia,1842,126921,52.5,17193,11293,27640,2623,0
2020,2125311,3800,2048682,489701,South Savo,926,132702,72.0,40023,6468,145463,6004,26
2020,2667951,14033,2647034,860582,North Savo,1231,248265,147.7,110868,18920,47271,5262,253
