year,oil_gas_floor_area_m2,coal_coke_floor_area_m2,wood_peat_floor_area_m2,other_floor_area_m2,region,wood_fuels_in_1000m3,population
2019,4848231,4584,3247071,956425,South Ostrobothnia,519,193207
2019,4131043,77083,1541060,1088658,Ostrobothnia,1232,175923
2019,1383340,3119,645026,398469,Central Ostrobothnia,206,68158
2019,4263269,31622,3242870,1492013,North Ostrobothnia,1272,412830
2019,773627,991,1015434,273932,Kainuu,433,72306
2019,2981953,6808,1930865,929803,Lapland,1408,177161
2019,838863,2428,198752,176864,Aaland,64,29884
2020,14436096,360617,2139946,4653712,Uusimaa,1626,1702678
2020,9690136,142581,2802007,2545971,Southwest Finland,1418,481403
2020,5864718,124948,1996448,1904257,Satakunta,952,215416
2020,3038274,40732,1197891,803807,Kanta-Haeme,417,170577
2020,8226273,61840,2937433,1735576,Pirkanmaa,1366,522852
2020,3098626,18402,1356723,734938,Paeijaet-Haeme,789,205771
2020,4652342,56154,980640,1350650,Kymenlaakso,1042,162812
2020,2032599,51984,1063168,715396,South Karelia,1842,126921
2020,2125311,3800,2048682,489701,South Savo,926,132702
2020,2667951,14033,2647034,860582,North Savo,1231,248265
2020,1945553,1714,2137128,686780,North Karelia,1119,163537
2020,4002520,86357,2575805,991718,Central Finland,1879,272617
2020,4780526,4584,3247707,983322,South Ostrobothnia,510,192150
2020,4160440,74538,1536037,1181437,Ostrobothnia,1109,175816
2020,1373004,3147,648536,486526,Central Ostrobothnia,202,67988
2020,4179428,31817,3289364,1556514,North Ostrobothnia,1237,413830
2020,768040,991,1059002,293061,Kainuu,371,71664
2020,2936363,6810,1884355,939291,Lapland,1187,176665
2020,851359,2548,204069,174241,Aaland,66,30129
2021,14029080,342183,2113610,4716668,Uusimaa,2065,1714741
2021,9427224,136501,2752905,2581985,Southwest Finland,1607,483477
2021,5819724,116173,1985906,1897619,Satakunta,1305,214281
2021,3040607,40443,1174554,831021,Kanta-Haeme,508,170213
2021,8130079,60750,2884383,1776130,Pirkanmaa,1621,527478
2021,3111331,18402,1342240,734486,Paeijaet-Haeme,1046,205124
2021,4548414,55584,956173,1367578,Kymenlaakso,1262,161391
2021,2035353,51454,1061740,727590,South Karelia,2051,126107
2021,2110087,3729,2032601,519547,South Savo,1065,131688
2021,2625473,13881,2633420,870703,North Savo,1526,248363
2021,1919496,1714,2122060,714049,North Karelia,1264,163281
2021,3919710,86357,2545715,996668,Central Finland,2392,272683
2021,4776929,4569,3253580,1013600,South Ostrobothnia,772,191762
2021,4050240,73699,1529631,1186364,Ostrobothnia,1323,176041
2021,1360084,3147,641094,486710,Central Ostrobothnia,288,67915
2021,4148177,35424,3265124,1606360,North Ostrobothnia,1843,415603
2021,734416,991,1056609,299548,Kainuu,558,71255
2021,2903504,6810,1867658,986133,Lapland,1474,176494
2021,838458,2293,195497,172754,Aaland,78,30344
2022,13856463,342331,2090926,5059104,Uusimaa,2003,1733033
2022,9330725,135576,2734926,2633523,Southwest Finland,1498,485567
2022,5785913,115782,1974764,1942357,Satakunta,1295,212556
2022,3044183,39609,1170723,853388,Kanta-Haeme,511,169537
2022,8038035,59981,2864433,1898344,Pirkanmaa,1585,532671
2022,3080729,18035,1338222,750354,Paeijaet-Haeme,1047,204528
2022,4446516,54446,948157,1451289,Kymenlaakso,1160,159488
2022,2033221,51142,1054558,731856,South Karelia,2094,125353
2022,2052087,3708,2019458,559707,South Savo,1081,130451
2022,2593891,13706,2612100,901782,North Savo,1477,247689
2022,1903019,1714,2120288,739689,North Karelia,1133,162540
2022,3678307,86357,2509572,988653,Central Finland,2197,272437
2022,4747053,4511,3242247,1046973,South Ostrobothnia,799,190774
2022,4034580,73731,1523930,1200327,Ostrobothnia,1393,176323
2022,1366143,3147,636005,479298,Central Ostrobothnia,277,67805
2022,4051787,35680,3228521,1698316,North Ostrobothnia,1818,416543
2022,742403,991,1046019,314316,Kainuu,477,70521
2022,2890625,6810,1854108,997050,Lapland,1095,175795
2022,840378,2293,196414,185201,Aaland,79,30359
2023,12454898,322062,2079789,5025258,Uusimaa,2562,1759537
2023,8417518,123411,2697727,2647201,Southwest Finland,1381,490786
2023,5498338,115668,1966178,1922651,Satakunta,1412,211740
2023,2871425,37241,1151737,845510,Kanta-Haeme,451,169547
2023,7357467,56500,2815271,2036691,Pirkanmaa,1689,539309
2023,2981956,17567,1318458,742799,Paeijaet-Haeme,926,204479
2023,4150079,52872,935298,1507943,Kymenlaakso,1172,158658
2023,1951117,50450,1031549,670051,South Karelia,1825,125162
2023,1854213,3668,2005648,558692,South Savo,985,129914
2023,2319730,11035,2582650,901351,North Savo,1536,248190
2023,1761269,1714,2100031,715564,North Karelia,1099,162321
2023,3413921,86318,2449863,1046100,Central Finland,2101,273271
2023,4495652,4306,3186728,1043247,South Ostrobothnia,680,190539
2023,3883053,72659,1515357,1216634,Ostrobothnia,1156,177602
2023,1307751,3147,629088,416604,Central Ostrobothnia,264,67736
2023,3843665,34250,3198615,1737639,North Ostrobothnia,1806,418205
2023,687662,1146,1042749,309679,Kainuu,415,70164
2023,2706695,6727,1837949,1034082,Lapland,993,176150
2023,820244,2378,195319,172662,Aaland,73,30541
