"Year","Area","Long Distance Or Reg Heating Gross Floor Area (m2)","Oil Gas Floor Area m2","Electricity Floor Area m2","Coal Coke Floor Area m2","Wood Peat Floor Area m2","Ground Heat Floor Area m2","Other Floor Area m2"
"2018","MK05 Kanta-Haeme",6127616,3051794,4424207,42423,1180259,455435,751056
"2018","MK06 Pirkanmaa",20821595,8510384,8544470,63717,2817929,1745287,1799297
"2018","MK07 Paeijaet-Haeme",10106985,3426195,3668248,12335,1343453,481992,681192
"2018","MK08 Kymenlaakso",5600228,4735673,3712356,59352,991481,525072,1226165
"2018","MK09 South Karelia",5844831,2066659,2381663,52255,1045562,207240,643848
"2018","MK10 South Savo",4647546,2233605,3353873,4773,2006425,433350,559992
"2018","MK11 North Savo",10812995,2792770,5065251,13836,2608328,544964,863741
"2018","MK12 North Karelia",5787063,2061905,4406087,2461,2098171,391559,700740
"2018","MK13 Central Finland",10385735,4204915,5102603,88679,2566023,783914,895020
"2018","MK14 South Ostrobothnia",5738893,4944704,4564435,4775,3249916,534103,953154
"2018","MK15 Ostrobothnia",5515346,4202611,3432640,83832,1540066,1128580,1079079
"2018","MK16 Central Ostrobothnia",2327978,1395600,1490089,3052,640426,246636,384785
"2018","MK17 North Ostrobothnia",15966576,4405624,8383523,32870,3258761,1156674,1449007
"2018","MK18 Kainuu",3259582,778491,1596872,1321,1019340,253300,271617
"2018","MK19 Lapland",6178982,3080932,5167863,6808,1966487,517126,915991
"2018","MK21 Aaland",724745,847414,682861,2428,197962,232799,171010
"2019","MK01 Uusimaa",85353783,14484655,22331836,360724,2106506,4353532,4313071
"2019","MK02 Southwest Finland",17659966,9638260,9458539,142505,2694205,1827356,2228434
"2019","MK04 Satakunta",7844395,5830426,5846627,124933,1971431,574829,1892834
"2019","MK05 Kanta-Haeme",6212043,3015740,4454005,41078,1172852,512990,757350
"2019","MK06 Pirkanmaa",21108483,8371513,8612255,63247,2808356,2029755,1821443
"2019","MK07 Paeijaet-Haeme",10171350,3311069,3706169,12174,1329780,574899,689525
"2019","MK08 Kymenlaakso",5734069,4624806,3763260,58660,984611,591200,1232744
"2019","MK09 South Karelia",5836789,2018454,2409853,51460,1039667,239212,644573
"2019","MK10 South Savo",4750828,2143936,3368921,3800,1996601,468766,546861
"2019","MK11 North Savo",11000592,2708746,5103660,13954,2590031,646923,877748
"2019","MK12 North Karelia",5987552,1959756,4446006,1714,2092138,426970,706136
"2019","MK13 Central Finland",10670581,4050750,5177294,88271,2550438,859944,913155
"2019","MK14 South Ostrobothnia",5940747,4848231,4702139,4584,3247071,580986,956425
"2019","MK15 Ostrobothnia",5638833,4131043,3452889,77083,1541060,1209200,1088658
"2019","MK16 Central Ostrobothnia",2368093,1383340,1499212,3119,645026,267146,398469
"2019","MK17 North Ostrobothnia",16500097,4263269,8436461,31622,3242870,1287029,1492013
"2019","MK18 Kainuu",3334689,773627,1609971,991,1015434,268374,273932
"2019","MK19 Lapland",6361554,2981953,5199869,6808,1930865,590291,929803
"2019","MK21 Aaland",750111,838863,697473,2428,198752,250236,176864
"2020","MK01 Uusimaa",87597836,14436096,22850344,360617,2139946,4821117,4653712
"2020","MK02 Southwest Finland",18056021,9690136,9587545,142581,2802007,2069942,2545971
"2020","MK04 Satakunta",7945186,5864718,5935321,124948,1996448,656166,1904257
"2020","MK05 Kanta-Haeme",6239461,3038274,4551314,40732,1197891,594968,803807
"2020","MK06 Pirkanmaa",21751189,8226273,8760155,61840,2937433,2282223,1735576
"2020","MK07 Paeijaet-Haeme",10615036,3098626,3752000,18402,1356723,617082,734938
"2020","MK08 Kymenlaakso",5800753,4652342,3821726,56154,980640,629268,1350650
"2020","MK09 South Karelia",5973674,2032599,2419543,51984,1063168,260457,715396
"2020","MK10 South Savo",4826774,2125311,3370651,3800,2048682,511973,489701
"2020","MK11 North Savo",11187552,2667951,5129748,14033,2647034,711506,860582
"2020","MK12 North Karelia",6078947,1945553,4455466,1714,2137128,447845,686780
"2020","MK13 Central Finland",11217272,4002520,5194828,86357,2575805,953770,991718
"2020","MK14 South Ostrobothnia",6234726,4780526,4739019,4584,3247707,643381,983322
"2020","MK15 Ostrobothnia",5923383,4160440,3566792,74538,1536037,1330631,1181437
"2020","MK16 Central Ostrobothnia",2481675,1373004,1524114,3147,648536,291532,486526
"2020","MK17 North Ostrobothnia",17072236,4179428,8463336,31817,3289364,1395917,1556514
"2020","MK18 Kainuu",3370374,768040,1555614,991,1059002,273672,293061
"2020","MK19 Lapland",6502203,2936363,5064636,6810,1884355,662168,939291
"2020","MK21 Aaland",782652,851359,700886,2548,204069,275752,174241
"2021","MK01 Uusimaa",89129589,14029080,22825970,342183,2113610,5286900,4716668
"2021","MK02 Southwest Finland",18457350,9427224,9633701,136501,2752905,2236591,2581985
"2021","MK04 Satakunta",8002590,5819724,5984914,116173,1985906,687441,1897619
"2021","MK05 Kanta-Haeme",6287541,3040607,4546375,40443,1174554,620712,831021
"2021","MK06 Pirkanmaa",22030195,8130079,8766627,60750,2884383,2506735,1776130
"2021","MK07 Paeijaet-Haeme",10609303,3111331,3795319,18402,1342240,684135,734486
"2021","MK08 Kymenlaakso",5836433,4548414,3833325,55584,956173,680816,1367578
"2021","MK09 South Karelia",5911257,2035353,2432947,51454,1061740,267928,727590
"2021","MK10 South Savo",4876748,2110087,3391474,3729,2032601,535866,519547
"2021","MK11 North Savo",11219850,2625473,5142410,13881,2633420,796736,870703
"2021","MK12 North Karelia",6091255,1919496,4497133,1714,2122060,479463,714049
"2021","MK13 Central Finland",11352807,3919710,5176249,86357,2545715,1034388,996668
"2021","MK14 South Ostrobothnia",6310774,4776929,4770148,4569,3253580,696344,1013600
"2021","MK15 Ostrobothnia",5984136,4050240,3597456,73699,1529631,1431112,1186364
"2021","MK16 Central Ostrobothnia",2508646,1360084,1518056,3147,641094,367636,486710
"2021","MK17 North Ostrobothnia",17393216,4148177,8509124,35424,3265124,1515595,1606360
"2021","MK18 Kainuu",3441016,734416,1575490,991,1056609,286604,299548
"2021","MK19 Lapland",6544088,2903504,5088964,6810,1867658,721965,986133
"2021","MK21 Aaland",780004,838458,702730,2293,195497,290381,172754
"2022","MK01 Uusimaa",90517884,13856463,23150455,342331,2090926,6080152,5059104
"2022","MK02 Southwest Finland",18807987,9330725,9711588,135576,2734926,2455545,2633523
"2022","MK04 Satakunta",8040648,5785913,5993708,115782,1974764,752042,1942357
"2022","MK05 Kanta-Haeme",6345809,3044183,4547733,39609,1170723,641522,853388
"2022","MK06 Pirkanmaa",22525337,8038035,8762364,59981,2864433,2863606,1898344
"2022","MK07 Paeijaet-Haeme",10603545,3080729,3860862,18035,1338222,746411,750354
