"Year","Region","Variable","Cattle","Pigs","Poultry","Sheep","Goats"
"2021","Etelae-Savo","Livestock",36896,6809,135089,5103,33
"2021","Pohjois-Savo","Livestock",112756,17397,53483,5511,131
"2021","North Karelia","Livestock",46202,4275,25824,2797,16
"2021","Central Finland","Livestock",42968,7455,49756,8755,16
"2021","South Ostrobothnia","Livestock",114717,226688,3531632,8577,1202
"2021","Ostrobothnia","Livestock",48475,155712,508299,10202,20
"2021","Central Ostrobothnia","Livestock",48590,12611,..,3642,..
"2021","North Ostrobothnia","Livestock",131753,56483,18940,10971,23
"2021","Kainuu","Livestock",16916,..,..,2215,5
"2021","Lapland","Livestock",28746,..,..,11449,34
"2021","Aaland","Livestock",8857,..,21938,7893,89
"2022","Uusimaa","Livestock",20444,15475,12224,6726,1742
"2022","Varsinais-Suomi","Livestock",39146,306802,4931034,21477,608
"2022","Satakunta","Livestock",32464,114697,3510294,4297,163
"2022","Kanta-Haeme","Livestock",19976,45957,190890,4765,..
"2022","Pirkanmaa","Livestock",46889,73832,1331718,9362,1307
"2022","Paeijaet-Haeme","Livestock",18745,24888,..,4073,..
"2022","Kymenlaakso","Livestock",12165,3714,9056,2512,82
"2022","South Karelia","Livestock",16582,5593,17928,2160,..
"2022","Etelae-Savo","Livestock",36420,5332,136171,5119,37
"2022","Pohjois-Savo","Livestock",110278,17145,47058,5145,101
"2022","North Karelia","Livestock",44540,3574,25805,2505,17
"2022","Central Finland","Livestock",41458,7160,10127,8576,28
"2022","South Ostrobothnia","Livestock",114831,217211,3558134,8056,1234
"2022","Ostrobothnia","Livestock",49338,155739,527915,10499,25
"2022","Central Ostrobothnia","Livestock",47944,11413,..,3658,..
"2022","North Ostrobothnia","Livestock",131137,51259,16465,10832,117
"2022","Kainuu","Livestock",16362,..,..,2604,6
"2022","Lapland","Livestock",26765,..,..,12561,61
"2022","Aaland","Livestock",8465,..,..,7157,88
"2023","Uusimaa","Livestock",20037,20024,14558,5626,1562
"2023","Varsinais-Suomi","Livestock",39148,281267,5007959,20484,572
"2023","Satakunta","Livestock",31984,101406,4064383,3787,164
"2023","Kanta-Haeme","Livestock",20306,35514,155551,4534,647
"2023","Pirkanmaa","Livestock",46640,69460,938973,9324,1237
"2023","Paeijaet-Haeme","Livestock",17965,22393,..,3350,18
"2023","Kymenlaakso","Livestock",12414,2600,6587,2434,98
"2023","South Karelia","Livestock",15682,3894,14473,1715,..
"2023","Etelae-Savo","Livestock",36086,5268,132672,5211,40
"2023","Pohjois-Savo","Livestock",107844,16022,48767,4820,48
"2023","North Karelia","Livestock",43216,3815,23517,2259,11
"2023","Central Finland","Livestock",40316,6400,64661,8234,34
"2023","South Ostrobothnia","Livestock",114693,214345,3364102,5818,1095
"2023","Ostrobothnia","Livestock",49233,142009,394123,10407,27
"2023","Central Ostrobothnia","Livestock",46889,12194,..,3731,..
"2023","North Ostrobothnia","Livestock",127835,51251,12487,10036,143
"2023","Kainuu","Livestock",16020,..,..,1920,..
"2023","Lapland","Livestock",26181,..,..,11538,38
"2023","Aaland","Livestock",8162,..,..,6832,65
"2024","Uusimaa","Livestock",19349,..,18496,..,..
"2024","Varsinais-Suomi","Livestock",38270,..,5356589,..,..
"2024","Satakunta","Livestock",30938,..,3531740,..,..
"2024","Kanta-Haeme","Livestock",19734,..,150115,..,..
"2024","Pirkanmaa","Livestock",44837,..,892074,..,..
"2024","Paeijaet-Haeme","Livestock",17385,..,..,..,..
"2024","Kymenlaakso","Livestock",12177,..,..,..,..
"2024","South Karelia","Livestock",15046,..,..,..,..
"2024","Etelae-Savo","Livestock",35518,..,119713,..,..
"2024","Pohjois-Savo","Livestock",104680,..,45281,..,..
"2024","North Karelia","Livestock",42099,..,17292,..,..
"2024","Central Finland","Livestock",38521,..,57791,..,..
"2024","South Ostrobothnia","Livestock",111819,..,4064541,..,..
"2024","Ostrobothnia","Livestock",47790,..,394498,..,..
"2024","Central Ostrobothnia","Livestock",44861,..,..,..,..
"2024","North Ostrobothnia","Livestock",122439,..,12538,..,..
"2024","Kainuu","Livestock",14935,..,..,..,..
"2024","Lapland","Livestock",25519,..,..,..,..
"2024","Aaland","Livestock",7922,..,..,..,..
