"Year","Region","Variable","Utilized Agric Area"
"2017","Varsinais-Suomi","Cultivated area (1 000 ha)",293.8
"2017","Satakunta","Cultivated area (1 000 ha)",140.9
"2017","Kanta-Haeme","Cultivated area (1 000 ha)",104.0
"2017","Pirkanmaa","Cultivated area (1 000 ha)",165.1
"2017","Paeijaet-Haeme","Cultivated area (1 000 ha)",81.9
"2017","Kymenlaakso","Cultivated area (1 000 ha)",84.0
"2017","South Karelia","Cultivated area (1 000 ha)",52.7
"2017","Etelae-Savo","Cultivated area (1 000 ha)",72.0
"2017","Pohjois-Savo","Cultivated area (1 000 ha)",149.3
"2017","North Karelia","Cultivated area (1 000 ha)",85.1
"2017","Central Finland","Cultivated area (1 000 ha)",93.7
"2017","South Ostrobothnia","Cultivated area (1 000 ha)",248.4
"2017","Ostrobothnia","Cultivated area (1 000 ha)",138.3
"2017","Central Ostrobothnia","Cultivated area (1 000 ha)",57.7
"2017","North Ostrobothnia","Cultivated area (1 000 ha)",237.4
"2017","Kainuu","Cultivated area (1 000 ha)",25.6
"2017","Lapland","Cultivated area (1 000 ha)",44.5
"2017","Aaland","Cultivated area (1 000 ha)",16.7
"2018","Uusimaa","Cultivated area (1 000 ha)",181.2
"2018","Varsinais-Suomi","Cultivated area (1 000 ha)",293.4
"2018","Satakunta","Cultivated area (1 000 ha)",140.6
"2018","Kanta-Haeme","Cultivated area (1 000 ha)",103.9
"2018","Pirkanmaa","Cultivated area (1 000 ha)",165.3
"2018","Paeijaet-Haeme","Cultivated area (1 000 ha)",81.5
"2018","Kymenlaakso","Cultivated area (1 000 ha)",83.9
"2018","South Karelia","Cultivated area (1 000 ha)",52.6
"2018","Etelae-Savo","Cultivated area (1 000 ha)",72.1
"2018","Pohjois-Savo","Cultivated area (1 000 ha)",148.8
"2018","North Karelia","Cultivated area (1 000 ha)",84.8
"2018","Central Finland","Cultivated area (1 000 ha)",93.8
"2018","South Ostrobothnia","Cultivated area (1 000 ha)",249.4
"2018","Ostrobothnia","Cultivated area (1 000 ha)",138.3
"2018","Central Ostrobothnia","Cultivated area (1 000 ha)",57.7
"2018","North Ostrobothnia","Cultivated area (1 000 ha)",238.0
"2018","Kainuu","Cultivated area (1 000 ha)",25.7
"2018","Lapland","Cultivated area (1 000 ha)",44.7
"2018","Aaland","Cultivated area (1 000 ha)",16.4
"2019","Uusimaa","Cultivated area (1 000 ha)",181.4
"2019","Varsinais-Suomi","Cultivated area (1 000 ha)",293.5
"2019","Satakunta","Cultivated area (1 000 ha)",140.8
"2019","Kanta-Haeme","Cultivated area (1 000 ha)",103.6
"2019","Pirkanmaa","Cultivated area (1 000 ha)",165.3
"2019","Paeijaet-Haeme","Cultivated area (1 000 ha)",81.3
"2019","Kymenlaakso","Cultivated area (1 000 ha)",83.7
"2019","South Karelia","Cultivated area (1 000 ha)",52.5
"2019","Etelae-Savo","Cultivated area (1 000 ha)",72.2
"2019","Pohjois-Savo","Cultivated area (1 000 ha)",148.7
"2019","North Karelia","Cultivated area (1 000 ha)",84.8
"2019","Central Finland","Cultivated area (1 000 ha)",93.7
"2019","South Ostrobothnia","Cultivated area (1 000 ha)",250.3
"2019","Ostrobothnia","Cultivated area (1 000 ha)",138.5
"2019","Central Ostrobothnia","Cultivated area (1 000 ha)",57.8
"2019","North Ostrobothnia","Cultivated area (1 000 ha)",239.1
"2019","Kainuu","Cultivated area (1 000 ha)",25.8
"2019","Lapland","Cultivated area (1 000 ha)",44.6
"2019","Aaland","Cultivated area (1 000 ha)",16.5
"2020","Uusimaa","Cultivated area (1 000 ha)",181.3
"2020","Varsinais-Suomi","Cultivated area (1 000 ha)",293.2
"2020","Satakunta","Cultivated area (1 000 ha)",140.6
"2020","Kanta-Haeme","Cultivated area (1 000 ha)",103.4
"2020","Pirkanmaa","Cultivated area (1 000 ha)",164.7
"2020","Paeijaet-Haeme","Cultivated area (1 000 ha)",81.2
"2020","Kymenlaakso","Cultivated area (1 000 ha)",83.4
"2020","South Karelia","Cultivated area (1 000 ha)",52.5
"2020","Etelae-Savo","Cultivated area (1 000 ha)",72.0
"2020","Pohjois-Savo","Cultivated area (1 000 ha)",147.7
"2020","North Karelia","Cultivated area (1 000 ha)",84.0
"2020","Central Finland","Cultivated area (1 000 ha)",93.5
"2020","South Ostrobothnia","Cultivated area (1 000 ha)",251.0
"2020","Ostrobothnia","Cultivated area (1 000 ha)",138.7
"2020","Central Ostrobothnia","Cultivated area (1 000 ha)",57.8
"2020","North Ostrobothnia","Cultivated area (1 000 ha)",239.4
"2020","Kainuu","Cultivated area (1 000 ha)",25.8
"2020","Lapland","Cultivated area (1 000 ha)",44.0
"2020","Aaland","Cultivated area (1 000 ha)",16.3
"2021","Uusimaa","Cultivated area (1 000 ha)",181.2
"2021","Varsinais-Suomi","Cultivated area (1 000 ha)",292.7
"2021","Satakunta","Cultivated area (1 000 ha)",140.5
"2021","Kanta-Haeme","Cultivated area (1 000 ha)",103.3
"2021","Pirkanmaa","Cultivated area (1 000 ha)",166.4
"2021","Paeijaet-Haeme","Cultivated area (1 000 ha)",93.8
"2021","Kymenlaakso","Cultivated area (1 000 ha)",70.4
"2021","South Karelia","Cultivated area (1 000 ha)",52.1
"2021","Etelae-Savo","Cultivated area (1 000 ha)",64.1
"2021","Pohjois-Savo","Cultivated area (1 000 ha)",154.1
"2021","North Karelia","Cultivated area (1 000 ha)",85.1
"2021","Central Finland","Cultivated area (1 000 ha)",91.4
"2021","South Ostrobothnia","Cultivated area (1 000 ha)",263.5
"2021","Ostrobothnia","Cultivated area (1 000 ha)",126.1
"2021","Central Ostrobothnia","Cultivated area (1 000 ha)",58.0
"2021","North Ostrobothnia","Cultivated area (1 000 ha)",239.9
"2021","Kainuu","Cultivated area (1 000 ha)",25.6
"2021","Lapland","Cultivated area (1 000 ha)",43.9
"2021","Aaland","Cultivated area (1 000 ha)",16.3
"2022","Uusimaa","Cultivated area (1 000 ha)",179.7
"2022","Varsinais-Suomi","Cultivated area (1 000 ha)",292.2
"2022","Satakunta","Cultivated area (1 000 ha)",140.3
"2022","Kanta-Haeme","Cultivated area (1 000 ha)",104.0
"2022","Pirkanmaa","Cultivated area (1 000 ha)",166.6
"2022","Paeijaet-Haeme","Cultivated area (1 000 ha)",94.1
"2022","Kymenlaakso","Cultivated area (1 000 ha)",69.8
"2022","South Karelia","Cultivated area (1 000 ha)",52.0
"2022","Etelae-Savo","Cultivated area (1 000 ha)",64.1
"2022","Pohjois-Savo","Cultivated area (1 000 ha)",154.0
"2022","North Karelia","Cultivated area (1 000 ha)",84.7
"2022","Central Finland","Cultivated area (1 000 ha)",91.5
"2022","South Ostrobothnia","Cultivated area (1 000 ha)",264.5
"2022","Ostrobothnia","Cultivated area (1 000 ha)",125.8
"2022","Central Ostrobothnia","Cultivated area (1 000 ha)",58.1
"2022","North Ostrobothnia","Cultivated area (1 000 ha)",240.3
"2022","Kainuu","Cultivated area (1 000 ha)",25.5
"2022","Lapland","Cultivated area (1 000 ha)",43.6
"2022","Aaland","Cultivated area (1 000 ha)",15.9
"2023","Uusimaa","Cultivated area (1 000 ha)",178.6
"2023","Varsinais-Suomi","Cultivated area (1 000 ha)",291.1
"2023","Satakunta","Cultivated area (1 000 ha)",139.3
"2023","Kanta-Haeme","Cultivated area (1 000 ha)",103.7
"2023","Pirkanmaa","Cultivated area (1 000 ha)",166.4
"2023","Paeijaet-Haeme","Cultivated area (1 000 ha)",94.1
"2023","Kymenlaakso","Cultivated area (1 000 ha)",70.4
"2023","South Karelia","Cultivated area (1 000 ha)",52.0
"2023","Etelae-Savo","Cultivated area (1 000 ha)",63.7
"2023","Pohjois-Savo","Cultivated area (1 000 ha)",153.4
"2023","North Karelia","Cultivated area (1 000 ha)",84.7
"2023","Central Finland","Cultivated area (1 000 ha)",91.2
"2023","South Ostrobothnia","Cultivated area (1 000 ha)",265.5
"2023","Ostrobothnia","Cultivated area (1 000 ha)",126.7
"2023","Central Ostrobothnia","Cultivated area (1 000 ha)",58.4
"2023","North Ostrobothnia","Cultivated area (1 000 ha)",240.9
"2023","Kainuu","Cultivated area (1 000 ha)",25.3
"2023","Lapland","Cultivated area (1 000 ha)",42.9
"2023","Aaland","Cultivated area (1 000 ha)",14.2
"2024","Uusimaa","Cultivated area (1 000 ha)",178.7
"2024","Varsinais-Suomi","Cultivated area (1 000 ha)",290.8
"2024","Satakunta","Cultivated area (1 000 ha)",139.7
"2024","Kanta-Haeme","Cultivated area (1 000 ha)",103.7
"2024","Pirkanmaa","Cultivated area (1 000 ha)",165.8
"2024","Paeijaet-Haeme","Cultivated area (1 000 ha)",93.2
"2024","Kymenlaakso","Cultivated area (1 000 ha)",70.2
"2024","South Karelia","Cultivated area (1 000 ha)",51.7
"2024","Etelae-Savo","Cultivated area (1 000 ha)",63.0
"2024","Pohjois-Savo","Cultivated area (1 000 ha)",153.0
"2024","North Karelia","Cultivated area (1 000 ha)",83.3
"2024","Central Finland","Cultivated area (1 000 ha)",90.6
"2024","South Ostrobothnia","Cultivated area (1 000 ha)",263.2
"2024","Ostrobothnia","Cultivated area (1 000 ha)",126.3
"2024","Central Ostrobothnia","Cultivated area (1 000 ha)",57.9
"2024","North Ostrobothnia","Cultivated area (1 000 ha)",238.3
"2024","Kainuu","Cultivated area (1 000 ha)",24.9
"2024","Lapland","Cultivated area (1 000 ha)",42.7
"2024","Aaland","Cultivated area (1 000 ha)",14.2
