"Year","Region","Unit","Wood Fuels In 1000m3"
"2020","7 Paeijaet-Haeme","Volume (1000 m³)",789
"2020","8 Kymenlaakso","Volume (1000 m³)",1042
"2020","9 South Karelia","Volume (1000 m³)",1842
"2020","10 Etelae-Savo","Volume (1000 m³)",926
"2020","11 Pohjois-Savo","Volume (1000 m³)",1231
"2020","12 North Karelia","Volume (1000 m³)",1119
"2020","13 Central Finland","Volume (1000 m³)",1879
"2020","14 South Ostrobothnia","Volume (1000 m³)",510
"2020","15 Ostrobothnia","Volume (1000 m³)",1109
"2020","16 Central Ostrobothnia","Volume (1000 m³)",202
"2020","17 North Ostrobothnia","Volume (1000 m³)",1237
"2020","18 Kainuu","Volume (1000 m³)",371
"2020","19 Lapland","Volume (1000 m³)",1187
"2020","21 Aaland","Volume (1000 m³)",66
"2021","1 Uusimaa","Volume (1000 m³)",2065
"2021","2 Varsinais-Suomi","Volume (1000 m³)",1607
"2021","4 Satakunta","Volume (1000 m³)",1305
"2021","5 Kanta-Haeme","Volume (1000 m³)",508
"2021","6 Pirkanmaa","Volume (1000 m³)",1621
"2021","7 Paeijaet-Haeme","Volume (1000 m³)",1046
"2021","8 Kymenlaakso","Volume (1000 m³)",1262
"2021","9 South Karelia","Volume (1000 m³)",2051
"2021","10 Etelae-Savo","Volume (1000 m³)",1065
"2021","11 Pohjois-Savo","Volume (1000 m³)",1526
"2021","12 North Karelia","Volume (1000 m³)",1264
"2021","13 Central Finland","Volume (1000 m³)",2392
"2021","14 South Ostrobothnia","Volume (1000 m³)",772
"2021","15 Ostrobothnia","Volume (1000 m³)",1323
"2021","16 Central Ostrobothnia","Volume (1000 m³)",288
"2021","17 North Ostrobothnia","Volume (1000 m³)",1843
"2021","18 Kainuu","Volume (1000 m³)",558
"2021","19 Lapland","Volume (1000 m³)",1474
"2021","21 Aaland","Volume (1000 m³)",78
"2022","1 Uusimaa","Volume (1000 m³)",2003
"2022","2 Varsinais-Suomi","Volume (1000 m³)",1498
"2022","4 Satakunta","Volume (1000 m³)",1295
"2022","5 Kanta-Haeme","Volume (1000 m³)",511
"2022","6 Pirkanmaa","Volume (1000 m³)",1585
"2022","7 Paeijaet-Haeme","Volume (1000 m³)",1047
"2022","8 Kymenlaakso","Volume (1000 m³)",1160
"2022","9 South Karelia","Volume (1000 m³)",2094
"2022","10 Etelae-Savo","Volume (1000 m³)",1081
"2022","11 Pohjois-Savo","Volume (1000 m³)",1477
"2022","12 North Karelia","Volume (1000 m³)",1133
"2022","13 Central Finland","Volume (1000 m³)",2197
"2022","14 South Ostrobothnia","Volume (1000 m³)",799
"2022","15 Ostrobothnia","Volume (1000 m³)",1393
"2022","16 Central Ostrobothnia","Volume (1000 m³)",277
"2022","17 North Ostrobothnia","Volume (1000 m³)",1818
"2022","18 Kainuu","Volume (1000 m³)",477
"2022","19 Lapland","Volume (1000 m³)",1095
"2022","21 Aaland","Volume (1000 m³)",79
"2023","1 Uusimaa","Volume (1000 m³)",2562
"2023","2 Varsinais-Suomi","Volume (1000 m³)",1381
"2023","4 Satakunta","Volume (1000 m³)",1412
"2023","5 Kanta-Haeme","Volume (1000 m³)",451
"2023","6 Pirkanmaa","Volume (1000 m³)",1689
"2023","7 Paeijaet-Haeme","Volume (1000 m³)",926
"2023","8 Kymenlaakso","Volume (1000 m³)",1172
"2023","9 South Karelia","Volume (1000 m³)",1825
"2023","10 Etelae-Savo","Volume (1000 m³)",985
"2023","11 Pohjois-Savo","Volume (1000 m³)",1536
"2023","12 North Karelia","Volume (1000 m³)",1099
"2023","13 Central Finland","Volume (1000 m³)",2101
"2023","14 South Ostrobothnia","Volume (1000 m³)",680
"2023","15 Ostrobothnia","Volume (1000 m³)",1156
"2023","16 Central Ostrobothnia","Volume (1000 m³)",264
"2023","17 North Ostrobothnia","Volume (1000 m³)",1806
"2023","18 Kainuu","Volume (1000 m³)",415
"2023","19 Lapland","Volume (1000 m³)",993
"2023","21 Aaland","Volume (1000 m³)",73
