"Year","Region","Energy Use In Tj"
"2021","MK19 Lapland",54127
"2021","MK21 Aaland",112
"2022","MK01 Uusimaa",66819
"2022","MK02 Varsinais-Suomi",11877
"2022","MK05 Kanta-Haeme",6561
"2022","MK07 Paeijaet-Haeme",8486
"2022","MK08 Kymenlaakso",41102
"2022","MK09 South Karelia",68372
"2022","MK04 Satakunta",30224
"2022","MK06 Pirkanmaa",18105
"2022","MK13 Central Finland",42190
"2022","MK14 South Ostrobothnia",5081
"2022","MK15 Ostrobothnia",19074
"2022","MK10 South-Savo",4636
"2022","MK11 Pohjois-Savo",16153
"2022","MK12 North Karelia",18264
"2022","MK16 Central Ostrobothnia",8416
"2022","MK17 North Ostrobothnia",51882
"2022","MK18 Kainuu",3505
"2022","MK19 Lapland",41039
"2022","MK21 Aaland",239
